shipment_id,origin,destination,rain_mm,wind_speed,traffic_index,distance_km,priority,historical_delay,target_risk
S-1000,Tokyo,Dubai,3,35,31,4157,Medium,5.9,54
S-1001,Sydney,Chicago,11,75,54,1020,Low,0.7,34
S-1002,Chicago,Tokyo,3,71,25,11147,Critical,1.8,61
S-1003,Singapore,Mumbai,97,20,89,7424,High,2.2,81
S-1004,Rotterdam,Dubai,11,48,12,6381,High,4.8,60
S-1005,Mumbai,Chicago,68,15,48,1791,High,6.6,79
S-1006,Rotterdam,Tokyo,24,8,5,11334,Medium,6.2,48
S-1007,Los Angeles,Dubai,48,35,58,10915,High,1.3,64
S-1008,Los Angeles,Sydney,34,9,77,10903,Medium,4.3,63
S-1009,Shanghai,Chicago,48,34,81,11774,Medium,5.5,89
S-1010,Mumbai,Singapore,105,4,40,7072,High,0.5,72
S-1011,Toronto,Rotterdam,27,63,50,11032,Critical,1.1,63
S-1012,Los Angeles,Toronto,68,33,95,10077,Critical,7.2,100
S-1013,Rotterdam,Los Angeles,17,65,63,1989,Low,6.9,61
S-1014,Tokyo,Shanghai,101,54,76,1540,Critical,3.1,94
S-1015,Chicago,Singapore,70,1,87,2376,High,6.1,81
S-1016,Dubai,Rotterdam,55,20,58,553,High,7.8,85
S-1017,Shanghai,Toronto,116,13,80,5389,Medium,1.2,80
S-1018,Shanghai,Toronto,99,67,0,10313,High,3.9,77
S-1019,Rotterdam,Singapore,30,7,30,9795,Low,0.7,33
S-1020,Dubai,Toronto,98,16,16,11309,Critical,7.6,93
S-1021,Singapore,Toronto,111,77,54,3970,Medium,5.7,95
S-1022,Tokyo,Sydney,47,56,66,7897,Low,2.0,54
S-1023,Rotterdam,Mumbai,75,70,29,10141,Medium,0.1,66
S-1024,Tokyo,Mumbai,29,8,4,5913,Low,4.1,33
S-1025,Tokyo,New York,27,69,16,9855,Critical,1.9,63
S-1026,Frankfurt,Los Angeles,12,12,84,7562,High,3.4,62
S-1027,Sydney,Mumbai,86,12,7,7096,High,6.4,70
S-1028,Los Angeles,Singapore,24,68,57,2796,Critical,1.5,63
S-1029,Los Angeles,Dubai,56,70,12,1328,Low,7.8,76
S-1030,Los Angeles,Shanghai,52,62,61,4002,Critical,7.2,91
S-1031,Frankfurt,Mumbai,49,33,100,7954,High,3.4,85
S-1032,Chicago,Sydney,91,62,19,3611,High,1.7,61
S-1033,Toronto,Chicago,7,40,7,1321,Critical,4.0,55
S-1034,Chicago,Shanghai,7,65,10,3544,Low,4.8,46
S-1035,Los Angeles,New York,15,72,31,9985,Low,5.0,58
S-1036,Tokyo,Toronto,72,66,40,4772,Medium,5.4,77
S-1037,Los Angeles,Rotterdam,50,16,85,11075,High,3.7,86
S-1038,Dubai,Mumbai,58,79,72,2138,Low,4.3,74
S-1039,Singapore,Shanghai,119,44,8,4502,High,2.3,74
S-1040,Chicago,Singapore,78,67,1,11442,High,7.5,86
S-1041,Shanghai,Rotterdam,14,13,95,9564,Medium,2.2,58
S-1042,Los Angeles,Frankfurt,26,33,64,8504,High,7.2,87
S-1043,Mumbai,Shanghai,81,54,35,1222,Low,2.7,53
S-1044,Tokyo,Singapore,20,56,70,7507,Low,0.9,55
S-1045,Sydney,Shanghai,69,4,47,10043,Medium,3.4,57
S-1046,Singapore,Frankfurt,115,5,45,3941,Medium,5.3,77
S-1047,Chicago,Frankfurt,79,19,30,3162,Medium,7.1,67
S-1048,Shanghai,Frankfurt,100,52,85,4565,High,1.3,89
S-1049,Dubai,New York,111,4,60,4144,Medium,6.5,87
S-1050,Rotterdam,Singapore,105,29,28,887,Medium,3.2,62
S-1051,Dubai,Rotterdam,44,65,51,11633,High,7.5,88
S-1052,Singapore,Shanghai,74,33,4,2276,Critical,2.8,68
S-1053,Rotterdam,New York,77,65,14,6811,Medium,2.0,66
S-1054,Frankfurt,Mumbai,66,68,87,11487,Medium,2.9,80
S-1055,Tokyo,Rotterdam,79,40,84,2541,High,4.1,88
S-1056,Frankfurt,Rotterdam,51,37,70,2585,Medium,3.4,63
S-1057,Tokyo,Shanghai,78,72,38,7153,Low,2.4,63
S-1058,Frankfurt,Tokyo,77,41,59,7738,Critical,5.4,96
S-1059,New York,Shanghai,84,10,36,8945,High,0.7,66
S-1060,Los Angeles,Sydney,39,28,25,2914,Low,0.4,31
S-1061,Toronto,Dubai,58,53,80,9931,Medium,5.7,87
S-1062,New York,Frankfurt,31,18,83,11766,Low,7.1,82
S-1063,Dubai,New York,28,22,89,8986,Critical,0.4,61
S-1064,Dubai,Chicago,17,59,85,9202,High,7.6,98
S-1065,New York,Tokyo,104,64,54,9476,Critical,7.2,100
S-1066,New York,Chicago,33,31,81,5043,Critical,5.0,78
S-1067,New York,Dubai,91,36,30,4951,High,2.6,72
S-1068,Dubai,Los Angeles,19,29,49,11869,Medium,5.7,60
S-1069,Frankfurt,New York,42,69,59,7312,Low,1.7,57
S-1070,Frankfurt,Tokyo,89,2,97,9932,Critical,3.8,94
S-1071,Singapore,New York,109,53,68,9447,Medium,3.9,90
S-1072,Frankfurt,Chicago,3,49,43,11458,Critical,5.8,82
S-1073,New York,Shanghai,79,68,3,6955,Low,0.7,49
S-1074,Shanghai,Chicago,23,6,33,6711,High,1.7,41
S-1075,Rotterdam,New York,35,53,32,1841,Critical,0.2,52
S-1076,Mumbai,Frankfurt,28,8,99,11178,Low,6.0,68
S-1077,Los Angeles,Mumbai,79,19,30,2568,Critical,5.4,81
